item_id;koppel_id;sentence_id;word_id;correct_word;incorrect_word;condition;prime_structure;target_structure;target_prime;posture_verb;overall_id
NA;NA;11;NA;mooi.;zicht.;filler;NA;NA;NA;NA;NA
NA;NA;12;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;12;NA;lucht;mee;filler;NA;NA;NA;NA;NA
NA;NA;12;NA;voelt;weer;filler;NA;NA;NA;NA;NA
NA;NA;12;NA;koud.;vast.;filler;NA;NA;NA;NA;NA
NA;NA;13;NA;Hij;xxx;filler;NA;NA;NA;NA;NA
NA;NA;13;NA;rijdt;brood;filler;NA;NA;NA;NA;NA
NA;NA;13;NA;naar;lip;filler;NA;NA;NA;NA;NA
NA;NA;13;NA;zijn;poot;filler;NA;NA;NA;NA;NA
NA;NA;13;NA;werk.;over.;filler;NA;NA;NA;NA;NA
NA;NA;14;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;14;NA;auto;heeft;filler;NA;NA;NA;NA;NA
NA;NA;14;NA;is;zij;filler;NA;NA;NA;NA;NA
NA;NA;14;NA;kapot;weten;filler;NA;NA;NA;NA;NA
NA;NA;14;NA;gegaan.;boven.;filler;NA;NA;NA;NA;NA
NA;NA;16;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;16;NA;boom;welke;filler;NA;NA;NA;NA;NA
NA;NA;16;NA;heeft;teken;filler;NA;NA;NA;NA;NA
NA;NA;16;NA;groene;slapen;filler;NA;NA;NA;NA;NA
NA;NA;16;NA;bladeren.;vraagt;filler;NA;NA;NA;NA;NA
NA;NA;17;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;17;NA;water;grappig;filler;NA;NA;NA;NA;NA
NA;NA;17;NA;is;zon;filler;NA;NA;NA;NA;NA
NA;NA;17;NA;blauw.;speelt;filler;NA;NA;NA;NA;NA
NA;NA;18;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;18;NA;luister;verder;filler;NA;NA;NA;NA;NA
NA;NA;18;NA;graag;rond;filler;NA;NA;NA;NA;NA
NA;NA;18;NA;naar;rood;filler;NA;NA;NA;NA;NA
NA;NA;18;NA;muziek.;vijver;filler;NA;NA;NA;NA;NA
NA;NA;19;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;19;NA;rivier;daar;filler;NA;NA;NA;NA;NA
NA;NA;19;NA;stroomt;verder;filler;NA;NA;NA;NA;NA
NA;NA;19;NA;snel.;vindt.;filler;NA;NA;NA;NA;NA
NA;NA;20;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;20;NA;kat;vroeg;filler;NA;NA;NA;NA;NA
NA;NA;20;NA;rent;anders;filler;NA;NA;NA;NA;NA
NA;NA;20;NA;over;punt;filler;NA;NA;NA;NA;NA
NA;NA;20;NA;straat.;vergeet.;filler;NA;NA;NA;NA;NA
NA;NA;21;NA;Dat;xxx;filler;NA;NA;NA;NA;NA
NA;NA;21;NA;bord;laat;filler;NA;NA;NA;NA;NA
NA;NA;21;NA;is;soms;filler;NA;NA;NA;NA;NA
NA;NA;21;NA;net;wij;filler;NA;NA;NA;NA;NA
NA;NA;21;NA;gevallen.;tafel.;filler;NA;NA;NA;NA;NA
NA;NA;22;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;22;NA;brood;nooit;filler;NA;NA;NA;NA;NA
NA;NA;22;NA;is;oog;filler;NA;NA;NA;NA;NA
NA;NA;22;NA;op.;lijkt.;filler;NA;NA;NA;NA;NA
NA;NA;23;NA;We;xxx;filler;NA;NA;NA;NA;NA
NA;NA;23;NA;eten;overal;filler;NA;NA;NA;NA;NA
NA;NA;23;NA;elke;kussen;filler;NA;NA;NA;NA;NA
NA;NA;23;NA;ochtend;klopt;filler;NA;NA;NA;NA;NA
NA;NA;23;NA;fruit.;roept.;filler;NA;NA;NA;NA;NA
NA;NA;24;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;24;NA;lichten;onze;filler;NA;NA;NA;NA;NA
NA;NA;24;NA;gaan;wind;filler;NA;NA;NA;NA;NA
NA;NA;24;NA;plotseling;dier;filler;NA;NA;NA;NA;NA
NA;NA;24;NA;uit.;mij;filler;NA;NA;NA;NA;NA
NA;NA;25;NA;Ze;xxx;filler;NA;NA;NA;NA;NA
NA;NA;25;NA;dragen;haastig;filler;NA;NA;NA;NA;NA
NA;NA;25;NA;warme;helpt;filler;NA;NA;NA;NA;NA
NA;NA;25;NA;winterjassen.;klein.;filler;NA;NA;NA;NA;NA
NA;NA;26;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;26;NA;fietsband;gister;filler;NA;NA;NA;NA;NA
NA;NA;26;NA;is;al;filler;NA;NA;NA;NA;NA
NA;NA;26;NA;lek;valt;filler;NA;NA;NA;NA;NA
NA;NA;26;NA;gegaan.;begrip.;filler;NA;NA;NA;NA;NA
NA;NA;27;NA;Mijn;xxx;filler;NA;NA;NA;NA;NA
NA;NA;27;NA;telefoon;verliest;filler;NA;NA;NA;NA;NA
NA;NA;27;NA;is;hij;filler;NA;NA;NA;NA;NA
NA;NA;27;NA;bijna;kort;filler;NA;NA;NA;NA;NA
NA;NA;27;NA;leeg.;griep.;filler;NA;NA;NA;NA;NA
NA;NA;28;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;28;NA;klok;boekt;filler;NA;NA;NA;NA;NA
NA;NA;28;NA;tikt;zaal;filler;NA;NA;NA;NA;NA
NA;NA;28;NA;heel;was;filler;NA;NA;NA;NA;NA
NA;NA;28;NA;langzaam.;tank.;filler;NA;NA;NA;NA;NA
NA;NA;29;NA;Dit;xxx;filler;NA;NA;NA;NA;NA
NA;NA;29;NA;schilderij;sluit;filler;NA;NA;NA;NA;NA
NA;NA;29;NA;is;mijn ;filler;NA;NA;NA;NA;NA
NA;NA;29;NA;oud.;stoel.;filler;NA;NA;NA;NA;NA
NA;NA;30;NA;Hij;xxx;filler;NA;NA;NA;NA;NA
NA;NA;30;NA;leest;bord;filler;NA;NA;NA;NA;NA
NA;NA;30;NA;een;rood;filler;NA;NA;NA;NA;NA
NA;NA;30;NA;spannend;daar;filler;NA;NA;NA;NA;NA
NA;NA;30;NA;boek.;verlaat.;filler;NA;NA;NA;NA;NA
NA;NA;31;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;31;NA;bus;zwem;filler;NA;NA;NA;NA;NA
NA;NA;31;NA;vertrekt;paars;filler;NA;NA;NA;NA;NA
NA;NA;31;NA;om;riep;filler;NA;NA;NA;NA;NA
NA;NA;31;NA;negen.;buiten.;filler;NA;NA;NA;NA;NA
NA;NA;32;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;32;NA;gras;lacht;filler;NA;NA;NA;NA;NA
NA;NA;32;NA;voelt;hard;filler;NA;NA;NA;NA;NA
NA;NA;32;NA;erg;pen;filler;NA;NA;NA;NA;NA
NA;NA;32;NA;nat.;stopt.;filler;NA;NA;NA;NA;NA
NA;NA;33;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;33;NA;deur;stond;filler;NA;NA;NA;NA;NA
NA;NA;33;NA;gaat;moe;filler;NA;NA;NA;NA;NA
NA;NA;33;NA;langzaam;ren;filler;NA;NA;NA;NA;NA
NA;NA;33;NA;open.;soms.;filler;NA;NA;NA;NA;NA
NA;NA;34;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;34;NA;zie;klok;filler;NA;NA;NA;NA;NA
NA;NA;34;NA;een;te;filler;NA;NA;NA;NA;NA
NA;NA;34;NA;mooie;op;filler;NA;NA;NA;NA;NA
NA;NA;34;NA;bloem.;hopen.;filler;NA;NA;NA;NA;NA
NA;NA;35;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;35;NA;lamp;vaak;filler;NA;NA;NA;NA;NA
NA;NA;35;NA;geeft;klein;filler;NA;NA;NA;NA;NA
NA;NA;35;NA;fel;weet;filler;NA;NA;NA;NA;NA
NA;NA;35;NA;licht.;onder.;filler;NA;NA;NA;NA;NA
NA;NA;36;NA;Hij;xxx;filler;NA;NA;NA;NA;NA
NA;NA;36;NA;eet;jij;filler;NA;NA;NA;NA;NA
NA;NA;36;NA;een;haast;filler;NA;NA;NA;NA;NA
NA;NA;36;NA;verse;rolde;filler;NA;NA;NA;NA;NA
NA;NA;36;NA;appel.;hier.;filler;NA;NA;NA;NA;NA
NA;NA;37;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;37;NA;hond;blijft;filler;NA;NA;NA;NA;NA
NA;NA;37;NA;is;goed;filler;NA;NA;NA;NA;NA
NA;NA;37;NA;rustig.;ziet.;filler;NA;NA;NA;NA;NA
NA;NA;38;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;38;NA;vogels;blij;filler;NA;NA;NA;NA;NA
NA;NA;38;NA;zingen;snel;filler;NA;NA;NA;NA;NA
NA;NA;38;NA;in;hij;filler;NA;NA;NA;NA;NA
NA;NA;38;NA;bomen.;altijd.;filler;NA;NA;NA;NA;NA
NA;NA;39;NA;We;xxx;filler;NA;NA;NA;NA;NA
NA;NA;39;NA;lopen;boos;filler;NA;NA;NA;NA;NA
NA;NA;39;NA;door;duwt;filler;NA;NA;NA;NA;NA
NA;NA;39;NA;het;soms;filler;NA;NA;NA;NA;NA
NA;NA;39;NA;park.;fles.;filler;NA;NA;NA;NA;NA
NA;NA;40;NA;Dit;xxx;filler;NA;NA;NA;NA;NA
NA;NA;40;NA;hotel;tikt;filler;NA;NA;NA;NA;NA
NA;NA;40;NA;heeft;noot;filler;NA;NA;NA;NA;NA
NA;NA;40;NA;mooie;klimt;filler;NA;NA;NA;NA;NA
NA;NA;40;NA;kamers.;schrijft.;filler;NA;NA;NA;NA;NA
NA;NA;41;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;41;NA;lange;vaak;filler;NA;NA;NA;NA;NA
NA;NA;41;NA;gordijn;sliep;filler;NA;NA;NA;NA;NA
NA;NA;41;NA;beweegt;verrijker.;filler;NA;NA;NA;NA;NA
NA;NA;42;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;42;NA;ruik;de;filler;NA;NA;NA;NA;NA
NA;NA;42;NA;verse;pomp;filler;NA;NA;NA;NA;NA
NA;NA;42;NA;bloemen;achter;filler;NA;NA;NA;NA;NA
NA;NA;42;NA;buiten.;helpt.;filler;NA;NA;NA;NA;NA
NA;NA;43;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;43;NA;lucht;welke;filler;NA;NA;NA;NA;NA
NA;NA;43;NA;is;ei;filler;NA;NA;NA;NA;NA
NA;NA;43;NA;erg;vind;filler;NA;NA;NA;NA;NA
NA;NA;43;NA;blauw.;duim.;filler;NA;NA;NA;NA;NA
NA;NA;44;NA;Dit;xxx;filler;NA;NA;NA;NA;NA
NA;NA;44;NA;tapijt;mijn;filler;NA;NA;NA;NA;NA
NA;NA;44;NA;voelt;regen;filler;NA;NA;NA;NA;NA
NA;NA;44;NA;zacht.;dans.;filler;NA;NA;NA;NA;NA
NA;NA;45;NA;Ze;xxx;filler;NA;NA;NA;NA;NA
NA;NA;45;NA;drinken;verder;filler;NA;NA;NA;NA;NA
NA;NA;45;NA;hete;brief;filler;NA;NA;NA;NA;NA
NA;NA;45;NA;chocolademelk.;vandaag.;filler;NA;NA;NA;NA;NA
NA;NA;46;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;46;NA;trap;nam;filler;NA;NA;NA;NA;NA
NA;NA;46;NA;is;braaf;filler;NA;NA;NA;NA;NA
NA;NA;46;NA;steil.;kijkt.;filler;NA;NA;NA;NA;NA
NA;NA;47;NA;We;xxx;filler;NA;NA;NA;NA;NA
NA;NA;47;NA;wandelen;koud;filler;NA;NA;NA;NA;NA
NA;NA;47;NA;langs;zin;filler;NA;NA;NA;NA;NA
NA;NA;47;NA;de;roep;filler;NA;NA;NA;NA;NA
NA;NA;47;NA;rivier.;lage.;filler;NA;NA;NA;NA;NA
NA;NA;48;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;48;NA;gras;veel;filler;NA;NA;NA;NA;NA
NA;NA;48;NA;ruikt;toren;filler;NA;NA;NA;NA;NA
NA;NA;48;NA;naar;veel;filler;NA;NA;NA;NA;NA
NA;NA;48;NA;regen.;kopen.;filler;NA;NA;NA;NA;NA
NA;NA;49;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;49;NA;computer;mee;filler;NA;NA;NA;NA;NA
NA;NA;49;NA;werkt;kansen;filler;NA;NA;NA;NA;NA
NA;NA;49;NA;goed.;gaat.;filler;NA;NA;NA;NA;NA
NA;NA;50;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;50;NA;oven;schrap;filler;NA;NA;NA;NA;NA
NA;NA;50;NA;is;donker;filler;NA;NA;NA;NA;NA
NA;NA;50;NA;heet.;hij.;filler;NA;NA;NA;NA;NA
NA;NA;51;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;51;NA;draag;lekker;filler;NA;NA;NA;NA;NA
NA;NA;51;NA;een;hoog;filler;NA;NA;NA;NA;NA
NA;NA;51;NA;dikke;helpt;filler;NA;NA;NA;NA;NA
NA;NA;51;NA;trui.;feestje.;filler;NA;NA;NA;NA;NA
NA;NA;52;NA;Dit;xxx;filler;NA;NA;NA;NA;NA
NA;NA;52;NA;schilderij;zwom;filler;NA;NA;NA;NA;NA
NA;NA;52;NA;heeft;kalm;filler;NA;NA;NA;NA;NA
NA;NA;52;NA;felle;liep;filler;NA;NA;NA;NA;NA
NA;NA;52;NA;kleuren.;vrolijk.;filler;NA;NA;NA;NA;NA
NA;NA;53;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;53;NA;huis;groeit;filler;NA;NA;NA;NA;NA
NA;NA;53;NA;heeft;kerst;filler;NA;NA;NA;NA;NA
NA;NA;53;NA;drie;ver;filler;NA;NA;NA;NA;NA
NA;NA;53;NA;verdiepingen.;gelukkig.;filler;NA;NA;NA;NA;NA
NA;NA;54;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;54;NA;thee;anders;filler;NA;NA;NA;NA;NA
NA;NA;54;NA;is;ik;filler;NA;NA;NA;NA;NA
NA;NA;54;NA;nog;plop;filler;NA;NA;NA;NA;NA
NA;NA;54;NA;warm.;gaat.;filler;NA;NA;NA;NA;NA
NA;NA;55;NA;We;xxx;filler;NA;NA;NA;NA;NA
NA;NA;55;NA;eten;hek;filler;NA;NA;NA;NA;NA
NA;NA;55;NA;graag;regen;filler;NA;NA;NA;NA;NA
NA;NA;55;NA;vers;kijk;filler;NA;NA;NA;NA;NA
NA;NA;55;NA;brood.;snel.;filler;NA;NA;NA;NA;NA
NA;NA;56;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;56;NA;jas;jouw;filler;NA;NA;NA;NA;NA
NA;NA;56;NA;voelt;thuis;filler;NA;NA;NA;NA;NA
NA;NA;56;NA;erg;is;filler;NA;NA;NA;NA;NA
NA;NA;56;NA;zacht.;vroeg.;filler;NA;NA;NA;NA;NA
NA;NA;57;NA;Hij;xxx;filler;NA;NA;NA;NA;NA
NA;NA;57;NA;koopt;fijn;filler;NA;NA;NA;NA;NA
NA;NA;57;NA;een;heeft;filler;NA;NA;NA;NA;NA
NA;NA;57;NA;nieuwe;daar;filler;NA;NA;NA;NA;NA
NA;NA;57;NA;fiets.;helder.;filler;NA;NA;NA;NA;NA
NA;NA;58;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;58;NA;televisie;zacht;filler;NA;NA;NA;NA;NA
NA;NA;58;NA;speelt;hert;filler;NA;NA;NA;NA;NA
NA;NA;58;NA;luide;blad;filler;NA;NA;NA;NA;NA
NA;NA;58;NA;muziek.;nooit.;filler;NA;NA;NA;NA;NA
NA;NA;59;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;59;NA;bord;vaak;filler;NA;NA;NA;NA;NA
NA;NA;59;NA;blijft;oud;filler;NA;NA;NA;NA;NA
NA;NA;59;NA;schoon.;brillen.;filler;NA;NA;NA;NA;NA
NA;NA;60;NA;We;xxx;filler;NA;NA;NA;NA;NA
NA;NA;60;NA;wachten;uit;filler;NA;NA;NA;NA;NA
NA;NA;60;NA;op;vet;filler;NA;NA;NA;NA;NA
NA;NA;60;NA;de;jong;filler;NA;NA;NA;NA;NA
NA;NA;60;NA;bus.;kort.;filler;NA;NA;NA;NA;NA
NA;NA;61;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;61;NA;wolken;beven;filler;NA;NA;NA;NA;NA
NA;NA;61;NA;bewegen;trots;filler;NA;NA;NA;NA;NA
NA;NA;61;NA;langzaam.;schoon.;filler;NA;NA;NA;NA;NA
NA;NA;62;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;62;NA;straat;zijn;filler;NA;NA;NA;NA;NA
NA;NA;62;NA;blijft;droog;filler;NA;NA;NA;NA;NA
NA;NA;62;NA;stil.;wij.;filler;NA;NA;NA;NA;NA
NA;NA;63;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;63;NA;vogel;hebben;filler;NA;NA;NA;NA;NA
NA;NA;63;NA;eet ;merk;filler;NA;NA;NA;NA;NA
NA;NA;63;NA;de;ver;filler;NA;NA;NA;NA;NA
NA;NA;63;NA;pitten.;stom.;filler;NA;NA;NA;NA;NA
NA;NA;64;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;64;NA;kast;daar;filler;NA;NA;NA;NA;NA
NA;NA;64;NA;heeft;een;filler;NA;NA;NA;NA;NA
NA;NA;64;NA;veel;kijk;filler;NA;NA;NA;NA;NA
NA;NA;64;NA;planken.;scherp.;filler;NA;NA;NA;NA;NA
NA;NA;65;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;65;NA;hoor;hemd;filler;NA;NA;NA;NA;NA
NA;NA;65;NA;een;stop;filler;NA;NA;NA;NA;NA
NA;NA;65;NA;zacht;vaak;filler;NA;NA;NA;NA;NA
NA;NA;65;NA;geluid.;vlieg.;filler;NA;NA;NA;NA;NA
NA;NA;66;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;66;NA;radio;volgen;filler;NA;NA;NA;NA;NA
NA;NA;66;NA;speelt;tegen;filler;NA;NA;NA;NA;NA
NA;NA;66;NA;vrolijke;suiker;filler;NA;NA;NA;NA;NA
NA;NA;66;NA;muziek.;tweede.;filler;NA;NA;NA;NA;NA
NA;NA;67;NA;Welk;xxx;filler;NA;NA;NA;NA;NA
NA;NA;67;NA;dier;veilig;filler;NA;NA;NA;NA;NA
NA;NA;67;NA;slaapt;onder;filler;NA;NA;NA;NA;NA
NA;NA;67;NA;hier.;kam.;filler;NA;NA;NA;NA;NA
NA;NA;68;NA;Hij;xxx;filler;NA;NA;NA;NA;NA
NA;NA;68;NA;plukt;onder;filler;NA;NA;NA;NA;NA
NA;NA;68;NA;een;tijd;filler;NA;NA;NA;NA;NA
NA;NA;68;NA;rode;melk;filler;NA;NA;NA;NA;NA
NA;NA;68;NA;appel.;zacht.;filler;NA;NA;NA;NA;NA
NA;NA;69;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;69;NA;wind;welke;filler;NA;NA;NA;NA;NA
NA;NA;69;NA;waait;lopen;filler;NA;NA;NA;NA;NA
NA;NA;69;NA;hard.;appel.;filler;NA;NA;NA;NA;NA
NA;NA;70;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;70;NA;sleutel;welk;filler;NA;NA;NA;NA;NA
NA;NA;70;NA;valt;nieuw;filler;NA;NA;NA;NA;NA
NA;NA;70;NA;op;ren;filler;NA;NA;NA;NA;NA
NA;NA;70;NA;tafel.;eerst.;filler;NA;NA;NA;NA;NA
NA;NA;71;NA;Het;xxx;filler;NA;NA;NA;NA;NA
NA;NA;71;NA;gras;die;filler;NA;NA;NA;NA;NA
NA;NA;71;NA;is;onze;filler;NA;NA;NA;NA;NA
NA;NA;71;NA;pas;lijkt;filler;NA;NA;NA;NA;NA
NA;NA;71;NA;gemaaid.;waarde.;filler;NA;NA;NA;NA;NA
NA;NA;72;NA;Ze;xxx;filler;NA;NA;NA;NA;NA
NA;NA;72;NA;ruiken;nooit;filler;NA;NA;NA;NA;NA
NA;NA;72;NA;de;hoog;filler;NA;NA;NA;NA;NA
NA;NA;72;NA;bloemen.;gelukkig.;filler;NA;NA;NA;NA;NA
NA;NA;73;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;73;NA;spiegel;zelden;filler;NA;NA;NA;NA;NA
NA;NA;73;NA;reflecteert;makkelijk;filler;NA;NA;NA;NA;NA
NA;NA;73;NA;de;sprong;filler;NA;NA;NA;NA;NA
NA;NA;73;NA;gang.;advies.;filler;NA;NA;NA;NA;NA
NA;NA;74;NA;Dit;xxx;filler;NA;NA;NA;NA;NA
NA;NA;74;NA;glas;jullie;filler;NA;NA;NA;NA;NA
NA;NA;74;NA;voelt;slank;filler;NA;NA;NA;NA;NA
NA;NA;74;NA;erg;dag;filler;NA;NA;NA;NA;NA
NA;NA;74;NA;breekbaar.;ochtend.;filler;NA;NA;NA;NA;NA
NA;NA;75;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;75;NA;open;kip;filler;NA;NA;NA;NA;NA
NA;NA;75;NA;voorzichtig;verzonnen;filler;NA;NA;NA;NA;NA
NA;NA;75;NA;de;hem;filler;NA;NA;NA;NA;NA
NA;NA;75;NA;deur.;rit.;filler;NA;NA;NA;NA;NA
NA;NA;76;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;76;NA;bel;wekt;filler;NA;NA;NA;NA;NA
NA;NA;76;NA;rinkelt;tijdig;filler;NA;NA;NA;NA;NA
NA;NA;76;NA;luid.;welke.;filler;NA;NA;NA;NA;NA
NA;NA;77;NA;Mijn;xxx;filler;NA;NA;NA;NA;NA
NA;NA;77;NA;oma;wat;filler;NA;NA;NA;NA;NA
NA;NA;77;NA;bakt;graag;filler;NA;NA;NA;NA;NA
NA;NA;77;NA;koekjes.;nemen.;filler;NA;NA;NA;NA;NA
NA;NA;78;NA;s Avonds;xxx;filler;NA;NA;NA;NA;NA
NA;NA;78;NA;kijk;jouw;filler;NA;NA;NA;NA;NA
NA;NA;78;NA;ik;lip;filler;NA;NA;NA;NA;NA
NA;NA;78;NA;tv.;er.;filler;NA;NA;NA;NA;NA
NA;NA;79;NA;Mijn;xxx;filler;NA;NA;NA;NA;NA
NA;NA;79;NA;broer;zelden;filler;NA;NA;NA;NA;NA
NA;NA;79;NA;zwemt;dicht;filler;NA;NA;NA;NA;NA
NA;NA;79;NA;veel.;haken.;filler;NA;NA;NA;NA;NA
NA;NA;80;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;80;NA;jongen;hielp;filler;NA;NA;NA;NA;NA
NA;NA;80;NA;rent;cake;filler;NA;NA;NA;NA;NA
NA;NA;80;NA;hard.;zwemt;filler;NA;NA;NA;NA;NA
NA;NA;81;NA;We;xxx;filler;NA;NA;NA;NA;NA
NA;NA;81;NA;roepen;die;filler;NA;NA;NA;NA;NA
NA;NA;81;NA;naar;diep;filler;NA;NA;NA;NA;NA
NA;NA;81;NA;haar.;stijf.;filler;NA;NA;NA;NA;NA
NA;NA;82;NA;Ik;xxx;filler;NA;NA;NA;NA;NA
NA;NA;82;NA;snap;zich;filler;NA;NA;NA;NA;NA
NA;NA;82;NA;daar;riep;filler;NA;NA;NA;NA;NA
NA;NA;82;NA;niks;week;filler;NA;NA;NA;NA;NA
NA;NA;82;NA;van.;zijn.;filler;NA;NA;NA;NA;NA
NA;NA;83;NA;De;xxx;filler;NA;NA;NA;NA;NA
NA;NA;83;NA;kat;dan;filler;NA;NA;NA;NA;NA
NA;NA;83;NA;miauwt ;blik;filler;NA;NA;NA;NA;NA
NA;NA;83;NA;zachtjes.;passeer.;filler;NA;NA;NA;NA;NA
NA;NA;84;NA;Ze;xxx;filler;NA;NA;NA;NA;NA
NA;NA;84;NA;pakt;meter;filler;NA;NA;NA;NA;NA
NA;NA;84;NA;een;hij;filler;NA;NA;NA;NA;NA
