item_id;koppel_id;overall_id;word_id;correct_word;incorrect_word;condition;prime_structure;target_structure;target_prime;posture_verb;sentence_id
9;53;36;1;Noor;xxx;UL;U;L;target;liggen;34
9;53;36;2;ligt;schaar;UL;U;L;target;liggen;34
9;53;36;3;in;dak;UL;U;L;target;liggen;34
9;53;36;4;de;niet;UL;U;L;target;liggen;34
9;53;36;5;tent.;maakt.;UL;U;L;target;liggen;34
9;54;81;1;Koen;xxx;AA;A;A;prime;liggen;35
9;54;81;2;ligt;zelden;AA;A;A;prime;liggen;35
9;54;81;3;te;ieder;AA;A;A;prime;liggen;35
9;54;81;4;dromen.;druif.;AA;A;A;prime;liggen;35
9;54;34;1;Floor;xxx;AA;A;A;target;liggen;36
9;54;34;2;ligt;zeven;AA;A;A;target;liggen;36
9;54;34;3;te;maan;AA;A;A;target;liggen;36
9;54;34;4;rusten.;meteen.;AA;A;A;target;liggen;36
10;55;82;1;De;xxx;UA;U;A;prime;zitten;37
10;55;82;2;planten;bakt;UA;U;A;prime;zitten;37
10;55;82;3;zijn;ieder;UA;U;A;prime;zitten;37
10;55;82;4;groen.;zich.;UA;U;A;prime;zitten;37
10;55;40;1;Lieke;xxx;UA;U;A;target;zitten;38
10;55;40;2;zit;griep;UA;U;A;target;zitten;38
10;55;40;3;te;wak;UA;U;A;target;zitten;38
10;55;40;4;werken.;droge.;UA;U;A;target;zitten;38
10;56;39;1;Joris;xxx;LL;L;L;prime;zitten;39
10;56;39;2;zit;drop;LL;L;L;prime;zitten;39
10;56;39;3;op;vul;LL;L;L;prime;zitten;39
10;56;39;4;de;ben;LL;L;L;prime;zitten;39
10;56;39;5;trap.;welke.;LL;L;L;prime;zitten;39
10;56;38;1;Bas;xxx;LL;L;L;target;zitten;40
10;56;38;2;zit;hek;LL;L;L;target;zitten;40
10;56;38;3;in;mos;LL;L;L;target;zitten;40
10;56;38;4;de;wij;LL;L;L;target;zitten;40
10;56;38;5;wachtkamer.;groeien.;LL;L;L;target;zitten;40
11;57;41;1;Zoë;xxx;AL;A;L;prime;zitten;41
11;57;41;2;zit;gans;AL;A;L;prime;zitten;41
11;57;41;3;te;rok;AL;A;L;prime;zitten;41
11;57;41;4;breien.;dinsdag.;AL;A;L;prime;zitten;41
11;57;44;1;Lotte;xxx;AL;A;L;target;zitten;42
11;57;44;2;zit;minder;AL;A;L;target;zitten;42
11;57;44;3;aan;rog;AL;A;L;target;zitten;42
11;57;44;4;de;tik;AL;A;L;target;zitten;42
11;57;44;5;tafel.;lief.;AL;A;L;target;zitten;42
11;58;83;1;Dirk;xxx;LA;L;A;prime;zitten;43
11;58;83;2;zit;veel;LA;L;A;prime;zitten;43
11;58;83;3;in;vis;LA;L;A;prime;zitten;43
11;58;83;4;het;kip;LA;L;A;prime;zitten;43
11;58;83;5;café.;traan.;LA;L;A;prime;zitten;43
11;58;42;1;Thijs;xxx;LA;L;A;target;zitten;44
11;58;42;2;zit;niet;LA;L;A;target;zitten;44
11;58;42;3;te;lik;LA;L;A;target;zitten;44
11;58;42;4;gamen.;eendje.;LA;L;A;target;zitten;44
12;59;84;1;Olivia;xxx;AA;A;A;prime;zitten;45
12;59;84;2;zit;lief;AA;A;A;prime;zitten;45
12;59;84;3;te;jij;AA;A;A;prime;zitten;45
12;59;84;4;knutselen.;zonder.;AA;A;A;prime;zitten;45
12;59;48;1;Luuk;xxx;AA;A;A;target;zitten;46
12;59;48;2;zit;meer;AA;A;A;target;zitten;46
12;59;48;3;te;ben;AA;A;A;target;zitten;46
12;59;48;4;bellen.;groente.;AA;A;A;target;zitten;46
12;60;47;1;Hij;xxx;UL;U;L;prime;zitten;47
12;60;47;2;geeft;negen;UL;U;L;prime;zitten;47
12;60;47;3;het;recht;UL;U;L;prime;zitten;47
12;60;47;4;cadeau.;roept.;UL;U;L;prime;zitten;47
12;60;46;1;Anne;xxx;UL;U;L;target;zitten;48
12;60;46;2;zit;luid;UL;U;L;target;zitten;48
12;60;46;3;op;hij;UL;U;L;target;zitten;48
12;60;46;4;het;blij;UL;U;L;target;zitten;48
12;60;46;5;kussen.;gister.;UL;U;L;target;zitten;48
13;61;49;1;Lily;xxx;LL;L;L;prime;staan;49
13;61;49;2;staat;halte;LL;L;L;prime;staan;49
13;61;49;3;voor;kaart;LL;L;L;prime;staan;49
13;61;49;4;de;uit;LL;L;L;prime;staan;49
13;61;49;5;spiegel.;belde.;LL;L;L;prime;staan;49
13;61;52;1;Ella;xxx;LL;L;L;target;staan;50
13;61;52;2;staat;reep;LL;L;L;target;staan;50
13;61;52;3;in;wij;LL;L;L;target;staan;50
13;61;52;4;de;tip;LL;L;L;target;staan;50
13;61;52;5;rij.;das.;LL;L;L;target;staan;50
13;62;86;1;De;xxx;UA;U;A;prime;staan;51
13;62;86;2;kat;soms;UA;U;A;prime;staan;51
13;62;86;3;pakt;sfeer;UA;U;A;prime;staan;51
13;62;86;4;de;zee;UA;U;A;prime;staan;51
13;62;86;5;muis.;weet.;UA;U;A;prime;staan;51
13;62;50;1;Hugo;xxx;UA;U;A;target;staan;52
13;62;50;2;staat;dicht;UA;U;A;target;staan;52
13;62;50;3;te;heb;UA;U;A;target;staan;52
13;62;50;4;schreeuwen.;kameel.;UA;U;A;target;staan;52
14;63;87;1;Floris;xxx;LA;L;A;prime;staan;53
14;63;87;2;staat;mooi;LA;L;A;prime;staan;53
14;63;87;3;op;gaf;LA;L;A;prime;staan;53
14;63;87;4;het;rood;LA;L;A;prime;staan;53
14;63;87;5;perron.;geweest.;LA;L;A;prime;staan;53
14;63;56;1;Tessa;xxx;LA;L;A;target;staan;54
14;63;56;2;staat;luik;LA;L;A;target;staan;54
14;63;56;3;te;kop;LA;L;A;target;staan;54
14;63;56;4;fluiten.;meters.;LA;L;A;target;staan;54
14;64;55;1;Oscar;xxx;AL;A;L;prime;staan;55
14;64;55;2;staat;jullie;AL;A;L;prime;staan;55
14;64;55;3;te;ik;AL;A;L;prime;staan;55
14;64;55;4;schilderen.;vrijdag.;AL;A;L;prime;staan;55
14;64;54;1;Alex;xxx;AL;A;L;target;staan;56
14;64;54;2;staat;rood;AL;A;L;target;staan;56
14;64;54;3;voor;gok;AL;A;L;target;staan;56
14;64;54;4;het;keer;AL;A;L;target;staan;56
14;64;54;5;raam.;onder.;AL;A;L;target;staan;56
15;65;57;1;De;xxx;UL;U;L;prime;staan;57
15;65;57;2;bus;sliep;UL;U;L;prime;staan;57
15;65;57;3;rijdt;kleine;UL;U;L;prime;staan;57
15;65;57;4;weg.;elke.;UL;U;L;prime;staan;57
15;65;60;1;Jesse;xxx;UL;U;L;target;staan;58
15;65;60;2;staat;zevens;UL;U;L;target;staan;58
15;65;60;3;op;jij;UL;U;L;target;staan;58
15;65;60;4;de;er;UL;U;L;target;staan;58
15;65;60;5;brug.;tijdens.;UL;U;L;target;staan;58
15;66;88;1;Luna;xxx;AA;A;A;prime;staan;59
15;66;88;2;staat;ergens;AA;A;A;prime;staan;59
15;66;88;3;te;dun;AA;A;A;prime;staan;59
15;66;88;4;turen.;streep.;AA;A;A;prime;staan;59
15;66;58;1;Adam;xxx;AA;A;A;target;staan;60
15;66;58;2;staat;ruggen;AA;A;A;target;staan;60
15;66;58;3;te;wij;AA;A;A;target;staan;60
15;66;58;4;juichen.;troep.;AA;A;A;target;staan;60
16;67;89;1;Soms;xxx;UA;U;A;prime;liggen;61
16;67;89;2;lees;ooit;UA;U;A;prime;liggen;61
16;67;89;3;ik;zit;UA;U;A;prime;liggen;61
16;67;89;4;boeken.;zeker.;UA;U;A;prime;liggen;61
16;67;64;1;Teun;xxx;UA;U;A;target;liggen;62
16;67;64;2;ligt;tijd;UA;U;A;target;liggen;62
16;67;64;3;te;bus;UA;U;A;target;liggen;62
16;67;64;4;kijken.;zomer.;UA;U;A;target;liggen;62
16;68;63;1;Hannah;xxx;LL;L;L;prime;liggen;63
16;68;63;2;ligt;klopt;LL;L;L;prime;liggen;63
16;68;63;3;onder;trek;LL;L;L;prime;liggen;63
16;68;63;4;de;is;LL;L;L;prime;liggen;63
16;68;63;5;deken.;vaker.;LL;L;L;prime;liggen;63
16;68;62;1;Max;xxx;LL;L;L;target;liggen;64
16;68;62;2;ligt;nooit;LL;L;L;target;liggen;64
16;68;62;3;in;sap;LL;L;L;target;liggen;64
16;68;62;4;het;dak;LL;L;L;target;liggen;64
16;68;62;5;zand.;toen.;LL;L;L;target;liggen;64
17;69;65;1;Veerle;xxx;AL;A;L;prime;liggen;65
17;69;65;2;ligt;ver;AL;A;L;prime;liggen;65
17;69;65;3;te;houd;AL;A;L;prime;liggen;65
17;69;65;4;ontspannen.;overzijde.;AL;A;L;prime;liggen;65
17;69;68;1;Puck;xxx;AL;A;L;target;liggen;66
17;69;68;2;ligt;verte;AL;A;L;target;liggen;66
17;69;68;3;op;dier;AL;A;L;target;liggen;66
17;69;68;4;de;lik;AL;A;L;target;liggen;66
17;69;68;5;bank.;langs.;AL;A;L;target;liggen;66
17;70;90;1;Jip;xxx;LA;L;A;prime;liggen;67
17;70;90;2;ligt;plek;LA;L;A;prime;liggen;67
17;70;90;3;in;pot;LA;L;A;prime;liggen;67
17;70;90;4;de;heft;LA;L;A;prime;liggen;67
17;70;90;5;hangmat.;zeldzaam.;LA;L;A;prime;liggen;67
17;70;66;1;Sven;xxx;LA;L;A;target;liggen;68
17;70;66;2;ligt;straat;LA;L;A;target;liggen;68
17;70;66;3;te;is;LA;L;A;target;liggen;68
17;70;66;4;gapen.;plein.;LA;L;A;target;liggen;68
18;71;91;1;Arthur;xxx;AA;A;A;prime;liggen;69
18;71;91;2;ligt;trein;AA;A;A;prime;liggen;69
18;71;91;3;te;rem;AA;A;A;prime;liggen;69
18;71;91;4;zuchten.;slechte.;AA;A;A;prime;liggen;69
18;71;72;1;Amber;xxx;AA;A;A;target;liggen;70
18;71;72;2;ligt;soms;AA;A;A;target;liggen;70
18;71;72;3;te;ik;AA;A;A;target;liggen;70
18;71;72;4;staren.;moeite.;AA;A;A;target;liggen;70
18;72;71;1;Misschien;xxx;UL;U;L;prime;liggen;71
18;72;71;2;komt;hulp;UL;U;L;prime;liggen;71
18;72;71;3;ze;vaak;UL;U;L;prime;liggen;71
18;72;71;4;morgen.;ieder.;UL;U;L;prime;liggen;71
18;72;70;1;Pepijn;xxx;UL;U;L;target;liggen;72
18;72;70;2;ligt;graag;UL;U;L;target;liggen;72
18;72;70;3;naast;julie;UL;U;L;target;liggen;72
18;72;70;4;de;ik;UL;U;L;target;liggen;72
18;72;70;5;lamp.;werken.;UL;U;L;target;liggen;72
