item_id;koppel_id;overall_id;sentence_id;word_id;correct_word;incorrect_word;condition;prime_structure;target_structure;target_prime;posture_verb
4;7;14;14;4;de;zwemt;AL;A;L;target;staan
4;7;14;14;5;tuin.;jouw.;AL;A;L;target;staan
4;8;15;15;1;David;xxx;LA;L;A;prime;staan
4;8;15;15;2;staat;rond;LA;L;A;prime;staan
4;8;15;15;3;bij;tof;LA;L;A;prime;staan
4;8;15;15;4;de;hier;LA;L;A;prime;staan
4;8;15;15;5;kast.;heet.;LA;L;A;prime;staan
4;8;16;16;1;Sam;xxx;LA;L;A;target;staan
4;8;16;16;2;staat;andere;LA;L;A;target;staan
4;8;16;16;3;te;hip;LA;L;A;target;staan
4;8;16;16;4;praten.;bloempot.;LA;L;A;target;staan
5;9;17;17;1;Paul;xxx;AA;A;A;prime;staan
5;9;17;17;2;staat;bos;AA;A;A;prime;staan
5;9;17;17;3;te;kookt;AA;A;A;prime;staan
5;9;17;17;4;lachen.;zwaar.;AA;A;A;prime;staan
5;9;18;18;1;Femke;xxx;AA;A;A;target;staan
5;9;18;18;2;staat;mus;AA;A;A;target;staan
5;9;18;18;3;te;jas;AA;A;A;target;staan
5;9;18;18;4;dansen.;klein.;AA;A;A;target;staan
5;10;19;19;1;Hij;xxx;UL;U;L;prime;staan
5;10;19;19;2;gaat;pijl;UL;U;L;prime;staan
5;10;19;19;3;naar;golf;UL;U;L;prime;staan
5;10;19;19;4;de;erg;UL;U;L;prime;staan
5;10;19;19;5;winkel.;holde.;UL;U;L;prime;staan
5;10;20;20;1;Sam;xxx;UL;U;L;target;staan
5;10;20;20;2;staat;deuren;UL;U;L;target;staan
5;10;20;20;3;bij;glas;UL;U;L;target;staan
5;10;20;20;4;de;er;UL;U;L;target;staan
5;10;20;20;5;muur.;liepen.;UL;U;L;target;staan
6;11;21;21;1;Femke;xxx;LL;L;L;prime;staan
6;11;21;21;2;staat;raam;LL;L;L;prime;staan
6;11;21;21;3;op;eet;LL;L;L;prime;staan
6;11;21;21;4;het;wij;LL;L;L;prime;staan
6;11;21;21;5;plein.;straks.;LL;L;L;prime;staan
6;11;22;22;1;Rick;xxx;LL;L;L;target;staan
6;11;22;22;2;staat;goed;LL;L;L;target;staan
6;11;22;22;3;naast;kijkt;LL;L;L;target;staan
6;11;22;22;4;de;nu;LL;L;L;target;staan
6;11;22;22;5;deur.;groot.;LL;L;L;target;staan
6;12;23;23;1;De;xxx;UA;U;A;prime;staan
6;12;23;23;2;hond;dit;UA;U;A;prime;staan
6;12;23;23;3;blaft;maan;UA;U;A;prime;staan
6;12;23;23;4;hard.;boter.;UA;U;A;prime;staan
6;12;24;24;1;Sophie;xxx;UA;U;A;target;staan
6;12;24;24;2;staat;donker;UA;U;A;target;staan
6;12;24;24;3;te;rent;UA;U;A;target;staan
6;12;24;24;4;koken.;letter.;UA;U;A;target;staan
7;13;25;25;1;Floor;xxx;LA;L;A;prime;liggen
7;13;25;25;2;ligt;mooi;LA;L;A;prime;liggen
7;13;25;25;3;op;tilt;LA;L;A;prime;liggen
7;13;25;25;4;het;vaas;LA;L;A;prime;liggen
7;13;25;25;5;strand.;rolt.;LA;L;A;prime;liggen
7;13;26;26;1;Els;xxx;LA;L;A;target;liggen
7;13;26;26;2;ligt;wijs;LA;L;A;target;liggen
7;13;26;26;3;te;komt;LA;L;A;target;liggen
7;13;26;26;4;huilen.;deur.;LA;L;A;target;liggen
7;14;27;27;1;Roos;xxx;AL;A;L;prime;liggen
7;14;27;27;2;ligt;auto;AL;A;L;prime;liggen
7;14;27;27;3;te;red;AL;A;L;prime;liggen
7;14;27;27;4;piekeren.;zwembad.;AL;A;L;prime;liggen
7;14;28;28;1;Bram;xxx;AL;A;L;target;liggen
7;14;28;28;2;ligt;tuin;AL;A;L;target;liggen
7;14;28;28;3;op;blijft;AL;A;L;target;liggen
7;14;28;28;4;de;toch;AL;A;L;target;liggen
7;14;28;28;5;grond.;ons.;AL;A;L;target;liggen
8;15;29;29;1;De;xxx;UL;U;L;prime;liggen
8;15;29;29;2;vogel;wast;UL;U;L;prime;liggen
8;15;29;29;3;vliegt;vaak;UL;U;L;prime;liggen
8;15;29;29;4;heel;lief;UL;U;L;prime;liggen
8;15;29;29;5;hoog.;tafel.;UL;U;L;prime;liggen
8;15;30;30;1;Koen;xxx;UL;U;L;target;liggen
8;15;30;30;2;ligt;haar;UL;U;L;target;liggen
8;15;30;30;3;onder;trapt;UL;U;L;target;liggen
8;15;30;30;4;de;klimt;UL;U;L;target;liggen
8;15;30;30;5;boom.;warm.;UL;U;L;target;liggen
8;16;31;31;1;Noor;xxx;AA;A;A;prime;liggen
8;16;31;31;2;ligt;kruis;AA;A;A;prime;liggen
8;16;31;31;3;te;is;AA;A;A;prime;liggen
8;16;31;31;4;denken.;blikje.;AA;A;A;prime;liggen
8;16;32;32;1;Tim;xxx;AA;A;A;target;liggen
8;16;32;32;2;ligt;geel;AA;A;A;target;liggen
8;16;32;32;3;te;kat;AA;A;A;target;liggen
8;16;32;32;4;luisteren.;schrift.;AA;A;A;target;liggen
9;17;33;33;1;Hij;xxx;UA;U;A;prime;liggen
9;17;33;33;2;rijdt;bord;UA;U;A;prime;liggen
9;17;33;33;3;naar;regent;UA;U;A;prime;liggen
9;17;33;33;4;zijn;zwart;UA;U;A;prime;liggen
9;17;33;33;5;werk.;gassen.;UA;U;A;prime;liggen
9;17;34;34;1;Floor;xxx;UA;U;A;target;liggen
9;17;34;34;2;ligt;zeven;UA;U;A;target;liggen
9;17;34;34;3;te;maan;UA;U;A;target;liggen
9;17;34;34;4;rusten.;meteen.;UA;U;A;target;liggen
9;18;35;35;1;Els;xxx;LL;L;L;prime;liggen
9;18;35;35;2;ligt;huis;LL;L;L;prime;liggen
9;18;35;35;3;in;de;LL;L;L;prime;liggen
9;18;35;35;4;het;valt;LL;L;L;prime;liggen
9;18;35;35;5;gras.;maken.;LL;L;L;prime;liggen
9;18;36;36;1;Noor;xxx;LL;L;L;target;liggen
9;18;36;36;2;ligt;schaar;LL;L;L;target;liggen
9;18;36;36;3;in;dak;LL;L;L;target;liggen
9;18;36;36;4;de;niet;LL;L;L;target;liggen
9;18;36;36;5;tent.;maakt.;LL;L;L;target;liggen
10;19;37;37;1;Sanne;xxx;AL;A;L;prime;zitten
10;19;37;37;2;zit;bord;AL;A;L;prime;zitten
10;19;37;37;3;te;is;AL;A;L;prime;zitten
10;19;37;37;4;typen.;bosjes.;AL;A;L;prime;zitten
10;19;38;38;1;Bas;xxx;AL;A;L;target;zitten
10;19;38;38;2;zit;hek;AL;A;L;target;zitten
10;19;38;38;3;in;mos;AL;A;L;target;zitten
10;19;38;38;4;de;wij;AL;A;L;target;zitten
10;19;38;38;5;wachtkamer.;groeien.;AL;A;L;target;zitten
10;20;39;39;1;Joris;xxx;LA;L;A;prime;zitten
10;20;39;39;2;zit;drop;LA;L;A;prime;zitten
10;20;39;39;3;op;vul;LA;L;A;prime;zitten
10;20;39;39;4;de;ben;LA;L;A;prime;zitten
10;20;39;39;5;trap.;welke.;LA;L;A;prime;zitten
10;20;40;40;1;Lieke;xxx;LA;L;A;target;zitten
10;20;40;40;2;zit;griep;LA;L;A;target;zitten
10;20;40;40;3;te;wak;LA;L;A;target;zitten
10;20;40;40;4;werken.;droge.;LA;L;A;target;zitten
11;21;41;41;1;Zoë;xxx;AA;A;A;prime;zitten
11;21;41;41;2;zit;gans;AA;A;A;prime;zitten
11;21;41;41;3;te;rok;AA;A;A;prime;zitten
11;21;41;41;4;breien.;dinsdag.;AA;A;A;prime;zitten
11;21;42;42;1;Thijs;xxx;AA;A;A;target;zitten
11;21;42;42;2;zit;niet;AA;A;A;target;zitten
11;21;42;42;3;te;lik;AA;A;A;target;zitten
11;21;42;42;4;gamen.;eendje.;AA;A;A;target;zitten
11;22;43;43;1;Zij;xxx;UL;U;L;prime;zitten
11;22;43;43;2;is;ons;UL;U;L;prime;zitten
11;22;43;43;3;erg;heeft;UL;U;L;prime;zitten
11;22;43;43;4;moe.;hol.;UL;U;L;prime;zitten
11;22;44;44;1;Lotte;xxx;UL;U;L;target;zitten
11;22;44;44;2;zit;minder;UL;U;L;target;zitten
11;22;44;44;3;aan;rog;UL;U;L;target;zitten
11;22;44;44;4;de;tik;UL;U;L;target;zitten
11;22;44;44;5;tafel.;lief.;UL;U;L;target;zitten
12;23;45;45;1;Mike;xxx;LL;L;L;prime;zitten
12;23;45;45;2;zit;volg;LL;L;L;prime;zitten
12;23;45;45;3;in;zee;LL;L;L;prime;zitten
12;23;45;45;4;de;her;LL;L;L;prime;zitten
12;23;45;45;5;bioscoop.;treffen.;LL;L;L;prime;zitten
12;23;46;46;1;Anne;xxx;LL;L;L;target;zitten
12;23;46;46;2;zit;luid;LL;L;L;target;zitten
12;23;46;46;3;op;hij;LL;L;L;target;zitten
12;23;46;46;4;het;blij;LL;L;L;target;zitten
12;23;46;46;5;kussen.;blauwe.;LL;L;L;target;zitten
12;24;47;47;1;Hij;xxx;UA;U;A;prime;zitten
12;24;47;47;2;geeft;negen;UA;U;A;prime;zitten
12;24;47;47;3;het;recht;UA;U;A;prime;zitten
12;24;47;47;4;cadeau.;roept.;UA;U;A;prime;zitten
12;24;48;48;1;Luuk;xxx;UA;U;A;target;zitten
12;24;48;48;2;zit;meer;UA;U;A;target;zitten
12;24;48;48;3;te;ben;UA;U;A;target;zitten
12;24;48;48;4;bellen.;groente.;UA;U;A;target;zitten
13;25;49;49;1;Lily;xxx;LA;L;A;prime;staan
13;25;49;49;2;staat;halte;LA;L;A;prime;staan
13;25;49;49;3;voor;kaart;LA;L;A;prime;staan
13;25;49;49;4;de;uit;LA;L;A;prime;staan
13;25;49;49;5;spiegel.;belde.;LA;L;A;prime;staan
13;25;50;50;1;Hugo;xxx;LA;L;A;target;staan
13;25;50;50;2;staat;dicht;LA;L;A;target;staan
13;25;50;50;3;te;heb;LA;L;A;target;staan
13;25;50;50;4;schreeuwen.;lampje.;LA;L;A;target;staan
13;26;51;51;1;Mila;xxx;AL;A;L;prime;staan
13;26;51;51;2;staat;vaak;AL;A;L;prime;staan
13;26;51;51;3;te;ree;AL;A;L;prime;staan
13;26;51;51;4;wachten.;terwijl.;AL;A;L;prime;staan
13;26;52;52;1;Ella;xxx;AL;A;L;target;staan
13;26;52;52;2;staat;reep;AL;A;L;target;staan
13;26;52;52;3;in;wij;AL;A;L;target;staan
13;26;52;52;4;de;tip;AL;A;L;target;staan
13;26;52;52;5;rij.;das.;AL;A;L;target;staan
14;27;53;53;1;De;xxx;UL;U;L;prime;staan
14;27;53;53;2;stoep;hijgen;UL;U;L;prime;staan
14;27;53;53;3;is;jij;UL;U;L;prime;staan
14;27;53;53;4;nat.;huis.;UL;U;L;prime;staan
14;27;54;54;1;Alex;xxx;UL;U;L;target;staan
14;27;54;54;2;staat;rood;UL;U;L;target;staan
14;27;54;54;3;voor;gok;UL;U;L;target;staan
14;27;54;54;4;het;keer;UL;U;L;target;staan
14;27;54;54;5;raam.;onder.;UL;U;L;target;staan
14;28;55;55;1;Oscar;xxx;AA;A;A;prime;staan
14;28;55;55;2;staat;jullie;AA;A;A;prime;staan
14;28;55;55;3;te;ik;AA;A;A;prime;staan
14;28;55;55;4;schilderen.;vrijdag.;AA;A;A;prime;staan
14;28;56;56;1;Tessa;xxx;AA;A;A;target;staan
14;28;56;56;2;staat;luik;AA;A;A;target;staan
14;28;56;56;3;te;kop;AA;A;A;target;staan
14;28;56;56;4;fluiten.;meters.;AA;A;A;target;staan
15;29;57;57;1;De;xxx;UA;U;A;prime;staan
15;29;57;57;2;bus;sliep;UA;U;A;prime;staan
15;29;57;57;3;rijdt;kleine;UA;U;A;prime;staan
15;29;57;57;4;weg.;elke.;UA;U;A;prime;staan
15;29;58;58;1;Adam;xxx;UA;U;A;target;staan
15;29;58;58;2;staat;ruggen;UA;U;A;target;staan
15;29;58;58;3;te;wij;UA;U;A;target;staan
15;29;58;58;4;juichen.;troep.;UA;U;A;target;staan
15;30;59;59;1;Nina;xxx;LL;L;L;prime;staan
15;30;59;59;2;staat;welk;LL;L;L;prime;staan
15;30;59;59;3;in;top;LL;L;L;prime;staan
15;30;59;59;4;de;hij;LL;L;L;prime;staan
15;30;59;59;5;winkel.;trekken.;LL;L;L;prime;staan
15;30;60;60;1;Jesse;xxx;LL;L;L;target;staan
15;30;60;60;2;staat;zevens;LL;L;L;target;staan
15;30;60;60;3;op;jij;LL;L;L;target;staan
15;30;60;60;4;de;er;LL;L;L;target;staan
15;30;60;60;5;brug.;tijdens.;LL;L;L;target;staan
16;31;61;61;1;Noa;xxx;AL;A;L;prime;liggen
16;31;61;61;2;ligt;zaak;AL;A;L;prime;liggen
16;31;61;61;3;te;lukt;AL;A;L;prime;liggen
16;31;61;61;4;genieten.;verdrag.;AL;A;L;prime;liggen
16;31;62;62;1;Max;xxx;AL;A;L;target;liggen
16;31;62;62;2;ligt;nooit;AL;A;L;target;liggen
16;31;62;62;3;in;sap;AL;A;L;target;liggen
16;31;62;62;4;het;dak;AL;A;L;target;liggen
16;31;62;62;5;zand.;toen.;AL;A;L;target;liggen
16;32;63;63;1;Hannah;xxx;LA;L;A;prime;liggen
16;32;63;63;2;ligt;klopt;LA;L;A;prime;liggen
16;32;63;63;3;onder;trek;LA;L;A;prime;liggen
16;32;63;63;4;de;is;LA;L;A;prime;liggen
16;32;63;63;5;deken.;vaker.;LA;L;A;prime;liggen
16;32;64;64;1;Teun;xxx;LA;L;A;target;liggen
16;32;64;64;2;ligt;tijd;LA;L;A;target;liggen
16;32;64;64;3;te;bus;LA;L;A;target;liggen
16;32;64;64;4;kijken.;zomer.;LA;L;A;target;liggen
17;33;65;65;1;Veerle;xxx;AA;A;A;prime;liggen
17;33;65;65;2;ligt;ver;AA;A;A;prime;liggen
17;33;65;65;3;te;houd;AA;A;A;prime;liggen
17;33;65;65;4;ontspannen.;overzijde.;AA;A;A;prime;liggen
17;33;66;66;1;Sven;xxx;AA;A;A;target;liggen
17;33;66;66;2;ligt;straat;AA;A;A;target;liggen
17;33;66;66;3;te;is;AA;A;A;target;liggen
17;33;66;66;4;gapen.;plein.;AA;A;A;target;liggen
17;34;67;67;1;De;xxx;UL;U;L;prime;liggen
17;34;67;67;2;kwast;tegen;UL;U;L;prime;liggen
17;34;67;67;3;is;helder;UL;U;L;prime;liggen
17;34;67;67;4;vies.;dag.;UL;U;L;prime;liggen
17;34;68;68;1;Puck;xxx;UL;U;L;target;liggen
17;34;68;68;2;ligt;verte;UL;U;L;target;liggen
17;34;68;68;3;op;dier;UL;U;L;target;liggen
17;34;68;68;4;de;lik;UL;U;L;target;liggen
17;34;68;68;5;bank.;langs.;UL;U;L;target;liggen
18;35;69;69;1;Suzan;xxx;LL;L;L;prime;liggen
18;35;69;69;2;ligt;plots;LL;L;L;prime;liggen
18;35;69;69;3;op;blik;LL;L;L;prime;liggen
18;35;69;69;4;de;er;LL;L;L;prime;liggen
18;35;69;69;5;handdoek.;langzaam.;LL;L;L;prime;liggen
18;35;70;70;1;Pepijn;xxx;LL;L;L;target;liggen
18;35;70;70;2;ligt;graag;LL;L;L;target;liggen
18;35;70;70;3;naast;julie;LL;L;L;target;liggen
18;35;70;70;4;de;ik;LL;L;L;target;liggen
18;35;70;70;5;lamp.;werken.;LL;L;L;target;liggen
18;36;71;71;1;Misschien;xxx;UA;U;A;prime;liggen
18;36;71;71;2;komt;hulp;UA;U;A;prime;liggen
18;36;71;71;3;ze;vaak;UA;U;A;prime;liggen
18;36;71;71;4;morgen.;ieder.;UA;U;A;prime;liggen
18;36;72;72;1;Amber;xxx;UA;U;A;target;liggen
18;36;72;72;2;ligt;soms;UA;U;A;target;liggen
18;36;72;72;3;te;ik;UA;U;A;target;liggen
18;36;72;72;4;staren.;moeite.;UA;U;A;target;liggen
